rank,id,priority,effort,wave,theme,title,source_repo,source_ref,source_url
29,CP2K-0063,P1,S,wave-1,thinking-and-reasoning,"Operationalize ""Feature request: Configurable HTTP request timeout for Extended Thinking models"" with observability, runbook updates, and deployment safeguards.",router-for-me/CLIProxyAPIPlus,issue#84,https://github.com/router-for-me/CLIProxyAPIPlus/issues/84
30,CP2K-0064,P1,S,wave-1,websocket-and-streaming,"Generalize ""kiro请求偶尔报错event stream fatal"" into provider-agnostic translation/utilities to reduce duplicate logic.",router-for-me/CLIProxyAPIPlus,issue#83,https://github.com/router-for-me/CLIProxyAPIPlus/issues/83
31,CP2K-0066,P1,S,wave-1,oauth-and-authentication,"Extend docs for ""[建议] 技术大佬考虑可以有机会新增一堆逆向平台"" with quickstart snippets and troubleshooting decision trees.",router-for-me/CLIProxyAPIPlus,issue#79,https://github.com/router-for-me/CLIProxyAPIPlus/issues/79
32,CP2K-0068,P1,S,wave-1,docs-quickstarts,"Create or refresh provider quickstart derived from ""kiro请求的数据好像一大就会出错,导致cc写入文件失败"" with setup/auth/model/sanity-check flow.",router-for-me/CLIProxyAPIPlus,issue#77,https://github.com/router-for-me/CLIProxyAPIPlus/issues/77
33,CP2K-0073,P1,S,wave-1,oauth-and-authentication,"Operationalize ""How to use KIRO with IAM?"" with observability, runbook updates, and deployment safeguards.",router-for-me/CLIProxyAPIPlus,issue#56,https://github.com/router-for-me/CLIProxyAPIPlus/issues/56
34,CP2K-0074,P1,S,wave-1,provider-model-registry,"Generalize ""[Bug] Models from Codex (openai) are not accessible when Copilot is added"" into provider-agnostic translation/utilities to reduce duplicate logic.",router-for-me/CLIProxyAPIPlus,issue#43,https://github.com/router-for-me/CLIProxyAPIPlus/issues/43
35,CP2K-0075,P1,S,wave-1,responses-and-chat-compat,"Improve CLI UX around ""model gpt-5.1-codex-mini is not accessible via the /chat/completions endpoint"" with clearer commands, flags, and immediate validation feedback.",router-for-me/CLIProxyAPIPlus,issue#41,https://github.com/router-for-me/CLIProxyAPIPlus/issues/41
36,CP2K-0079,P1,S,wave-1,thinking-and-reasoning,"Prepare safe rollout for ""lack of thinking signature in kiro's non-stream response cause incompatibility with some ai clients (specifically cherry studio)"" via flags, migration docs, and backward-compat tests.",router-for-me/CLIProxyAPIPlus,issue#27,https://github.com/router-for-me/CLIProxyAPIPlus/issues/27
37,CP2K-0080,P1,S,wave-1,oauth-and-authentication,"Standardize naming/metadata affected by ""I did not find the Kiro entry in the Web UI"" across both repos and docs.",router-for-me/CLIProxyAPIPlus,issue#26,https://github.com/router-for-me/CLIProxyAPIPlus/issues/26
38,CP2K-0081,P1,S,wave-1,thinking-and-reasoning,"Follow up ""Kiro (AWS CodeWhisperer) - Stream error, status: 400"" by closing compatibility gaps and locking in regression coverage.",router-for-me/CLIProxyAPIPlus,issue#7,https://github.com/router-for-me/CLIProxyAPIPlus/issues/7
39,CP2K-0251,P1,S,wave-1,oauth-and-authentication,"Follow up ""Why a separate repo?"" by closing compatibility gaps and locking in regression coverage.",router-for-me/CLIProxyAPIPlus,discussion#170,https://github.com/router-for-me/CLIProxyAPIPlus/discussions/170
40,CP2K-0252,P1,S,wave-1,oauth-and-authentication,"Harden ""How do I perform GitHub OAuth authentication? I can't find the entrance."" with stricter validation, safer defaults, and explicit fallback semantics.",router-for-me/CLIProxyAPIPlus,discussion#215,https://github.com/router-for-me/CLIProxyAPIPlus/discussions/215
41,CP2K-0255,P1,S,wave-1,docs-quickstarts,"Create or refresh provider quickstart derived from ""feat: support image content in tool result messages (OpenAI ↔ Claude translation)"" with setup/auth/model/sanity-check flow.",router-for-me/CLIProxyAPI,issue#1670,https://github.com/router-for-me/CLIProxyAPI/issues/1670
42,CP2K-0257,P1,S,wave-1,responses-and-chat-compat,"Add robust stream/non-stream parity tests for ""Need maintainer-handled codex translator compatibility for Responses compaction fields"" across supported providers.",router-for-me/CLIProxyAPI,issue#1667,https://github.com/router-for-me/CLIProxyAPI/issues/1667
43,CP2K-0258,P1,S,wave-1,responses-and-chat-compat,"Refactor internals touched by ""codex: usage_limit_reached (429) should honor resets_at/resets_in_seconds as next_retry_after"" to reduce coupling and improve maintainability.",router-for-me/CLIProxyAPI,issue#1666,https://github.com/router-for-me/CLIProxyAPI/issues/1666
44,CP2K-0260,P1,S,wave-1,thinking-and-reasoning,"Standardize naming/metadata affected by ""fix(claude): token exchange blocked by Cloudflare managed challenge on console.anthropic.com"" across both repos and docs.",router-for-me/CLIProxyAPI,issue#1659,https://github.com/router-for-me/CLIProxyAPI/issues/1659
45,CP2K-0263,P1,S,wave-1,responses-and-chat-compat,"Operationalize ""All credentials for model claude-sonnet-4-6 are cooling down"" with observability, runbook updates, and deployment safeguards.",router-for-me/CLIProxyAPI,issue#1655,https://github.com/router-for-me/CLIProxyAPI/issues/1655
46,CP2K-0265,P1,S,wave-1,thinking-and-reasoning,"Improve CLI UX around ""Claude Sonnet 4.5 models are deprecated - please remove from panel"" with clearer commands, flags, and immediate validation feedback.",router-for-me/CLIProxyAPI,issue#1651,https://github.com/router-for-me/CLIProxyAPI/issues/1651
47,CP2K-0267,P1,S,wave-1,thinking-and-reasoning,"Add robust stream/non-stream parity tests for ""codex 返回 Unsupported parameter: response_format"" across supported providers.",router-for-me/CLIProxyAPI,issue#1647,https://github.com/router-for-me/CLIProxyAPI/issues/1647
48,CP2K-0268,P1,S,wave-1,thinking-and-reasoning,"Refactor internals touched by ""Bug: Invalid JSON payload when tool_result has no content field (antigravity translator)"" to reduce coupling and improve maintainability.",router-for-me/CLIProxyAPI,issue#1646,https://github.com/router-for-me/CLIProxyAPI/issues/1646
49,CP2K-0272,P1,S,wave-1,docs-quickstarts,"Create or refresh provider quickstart derived from ""是否支持微软账号的反代？"" with setup/auth/model/sanity-check flow.",router-for-me/CLIProxyAPI,issue#1632,https://github.com/router-for-me/CLIProxyAPI/issues/1632
50,CP2K-0274,P1,S,wave-1,thinking-and-reasoning,"Generalize ""Claude Sonnet 4.5 is no longer available. Please switch to Claude Sonnet 4.6."" into provider-agnostic translation/utilities to reduce duplicate logic.",router-for-me/CLIProxyAPI,issue#1630,https://github.com/router-for-me/CLIProxyAPI/issues/1630
