Title,Body,Status,Priority,Wave,Effort,Theme,Implementation Ready,Source Kind,Source Repo,Source Ref,Source URL,Labels,Board ID
"Follow up ""在配置文件中支持为所有 OAuth 渠道自定义上游 URL"" by closing compatibility gaps and locking in regression coverage.",Execution item CP2K-0031 | Source: router-for-me/CLIProxyAPIPlus issue#158 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/158 | Implementation note: Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,oauth-and-authentication,yes,issue,router-for-me/CLIProxyAPIPlus,issue#158,https://github.com/router-for-me/CLIProxyAPIPlus/issues/158,"board-2000,theme:oauth-and-authentication,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0031
"Create or refresh provider quickstart derived from ""请求docker部署支持arm架构的机器！感谢。"" with setup/auth/model/sanity-check flow.",Execution item CP2K-0034 | Source: router-for-me/CLIProxyAPIPlus issue#147 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/147 | Implementation note: Refactor translation layer to isolate provider transform logic from transport concerns. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,docs-quickstarts,yes,issue,router-for-me/CLIProxyAPIPlus,issue#147,https://github.com/router-for-me/CLIProxyAPIPlus/issues/147,"board-2000,theme:docs-quickstarts,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0034
"Extend docs for ""[Bug]进一步完善 openai兼容模式对 claude 模型的支持（完善 协议格式转换 ）"" with quickstart snippets and troubleshooting decision trees.",Execution item CP2K-0036 | Source: router-for-me/CLIProxyAPIPlus issue#145 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/145 | Implementation note: Add staged rollout controls (feature flags) with safe defaults and migration notes. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,responses-and-chat-compat,yes,issue,router-for-me/CLIProxyAPIPlus,issue#145,https://github.com/router-for-me/CLIProxyAPIPlus/issues/145,"board-2000,theme:responses-and-chat-compat,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0036
"Add robust stream/non-stream parity tests for ""完善 claude openai兼容渠道的格式转换"" across supported providers.",Execution item CP2K-0037 | Source: router-for-me/CLIProxyAPIPlus issue#142 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/142 | Implementation note: Harden edge-case parsing for stream and non-stream payload variants. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,responses-and-chat-compat,yes,issue,router-for-me/CLIProxyAPIPlus,issue#142,https://github.com/router-for-me/CLIProxyAPIPlus/issues/142,"board-2000,theme:responses-and-chat-compat,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0037
"Prepare safe rollout for ""kiro idc登录需要手动刷新状态"" via flags, migration docs, and backward-compat tests.",Execution item CP2K-0039 | Source: router-for-me/CLIProxyAPIPlus issue#136 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/136 | Implementation note: Expand quickstart and troubleshooting docs with copy-paste examples and expected outputs. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,responses-and-chat-compat,yes,issue,router-for-me/CLIProxyAPIPlus,issue#136,https://github.com/router-for-me/CLIProxyAPIPlus/issues/136,"board-2000,theme:responses-and-chat-compat,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0039
"Standardize naming/metadata affected by ""[Bug Fix] 修复 Kiro 的Claude模型非流式请求 output_tokens 为 0 导致的用量统计缺失"" across both repos and docs.","Execution item CP2K-0040 | Source: router-for-me/CLIProxyAPIPlus issue#134 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/134 | Implementation note: Add contract tests for malformed payloads, missing fields, and legacy/new mixed parameters. | Tracking rule: keep source->solution mapping and update Status as work progresses.",proposed,P1,wave-1,S,thinking-and-reasoning,yes,issue,router-for-me/CLIProxyAPIPlus,issue#134,https://github.com/router-for-me/CLIProxyAPIPlus/issues/134,"board-2000,theme:thinking-and-reasoning,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0040
"Improve CLI UX around ""Error 403"" with clearer commands, flags, and immediate validation feedback.",Execution item CP2K-0045 | Source: router-for-me/CLIProxyAPIPlus issue#125 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/125 | Implementation note: Instrument structured logs/metrics around request normalize->translate->dispatch lifecycle. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,responses-and-chat-compat,yes,issue,router-for-me/CLIProxyAPIPlus,issue#125,https://github.com/router-for-me/CLIProxyAPIPlus/issues/125,"board-2000,theme:responses-and-chat-compat,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0045
"Add robust stream/non-stream parity tests for ""enterprise 账号 Kiro不是很稳定，很容易就403不可用了"" across supported providers.",Execution item CP2K-0047 | Source: router-for-me/CLIProxyAPIPlus issue#118 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/118 | Implementation note: Harden edge-case parsing for stream and non-stream payload variants. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,thinking-and-reasoning,yes,issue,router-for-me/CLIProxyAPIPlus,issue#118,https://github.com/router-for-me/CLIProxyAPIPlus/issues/118,"board-2000,theme:thinking-and-reasoning,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0047
"Refactor internals touched by ""-kiro-aws-login 登录后一直封号"" to reduce coupling and improve maintainability.",Execution item CP2K-0048 | Source: router-for-me/CLIProxyAPIPlus issue#115 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/115 | Implementation note: Benchmark p50/p95 latency and memory; reject regressions in CI quality gate. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,oauth-and-authentication,yes,issue,router-for-me/CLIProxyAPIPlus,issue#115,https://github.com/router-for-me/CLIProxyAPIPlus/issues/115,"board-2000,theme:oauth-and-authentication,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0048
"Standardize naming/metadata affected by ""Antigravity authentication failed"" across both repos and docs.","Execution item CP2K-0050 | Source: router-for-me/CLIProxyAPIPlus issue#111 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/111 | Implementation note: Add contract tests for malformed payloads, missing fields, and legacy/new mixed parameters. | Tracking rule: keep source->solution mapping and update Status as work progresses.",proposed,P1,wave-1,S,oauth-and-authentication,yes,issue,router-for-me/CLIProxyAPIPlus,issue#111,https://github.com/router-for-me/CLIProxyAPIPlus/issues/111,"board-2000,theme:oauth-and-authentication,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0050
"Create or refresh provider quickstart derived from ""大佬，什么时候搞个多账号管理呀"" with setup/auth/model/sanity-check flow.",Execution item CP2K-0051 | Source: router-for-me/CLIProxyAPIPlus issue#108 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/108 | Implementation note: Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,docs-quickstarts,yes,issue,router-for-me/CLIProxyAPIPlus,issue#108,https://github.com/router-for-me/CLIProxyAPIPlus/issues/108,"board-2000,theme:docs-quickstarts,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0051
"Harden ""日志中,一直打印auth file changed (WRITE)"" with stricter validation, safer defaults, and explicit fallback semantics.",Execution item CP2K-0052 | Source: router-for-me/CLIProxyAPIPlus issue#105 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/105 | Implementation note: Add failing-before/failing-after regression tests and update golden fixtures for each supported provider. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,oauth-and-authentication,yes,issue,router-for-me/CLIProxyAPIPlus,issue#105,https://github.com/router-for-me/CLIProxyAPIPlus/issues/105,"board-2000,theme:oauth-and-authentication,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0052
"Operationalize ""登录incognito参数无效"" with observability, runbook updates, and deployment safeguards.",Execution item CP2K-0053 | Source: router-for-me/CLIProxyAPIPlus issue#102 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/102 | Implementation note: Improve error diagnostics and add actionable remediation text in CLI and docs. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,oauth-and-authentication,yes,issue,router-for-me/CLIProxyAPIPlus,issue#102,https://github.com/router-for-me/CLIProxyAPIPlus/issues/102,"board-2000,theme:oauth-and-authentication,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0053
"Generalize ""OpenAI-compat provider hardcodes /v1/models (breaks Z.ai v4: /api/coding/paas/v4/models)"" into provider-agnostic translation/utilities to reduce duplicate logic.",Execution item CP2K-0054 | Source: router-for-me/CLIProxyAPIPlus issue#101 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/101 | Implementation note: Refactor translation layer to isolate provider transform logic from transport concerns. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,thinking-and-reasoning,yes,issue,router-for-me/CLIProxyAPIPlus,issue#101,https://github.com/router-for-me/CLIProxyAPIPlus/issues/101,"board-2000,theme:thinking-and-reasoning,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0054
"Extend docs for ""Kiro currently has no authentication available"" with quickstart snippets and troubleshooting decision trees.",Execution item CP2K-0056 | Source: router-for-me/CLIProxyAPIPlus issue#96 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/96 | Implementation note: Add staged rollout controls (feature flags) with safe defaults and migration notes. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,responses-and-chat-compat,yes,issue,router-for-me/CLIProxyAPIPlus,issue#96,https://github.com/router-for-me/CLIProxyAPIPlus/issues/96,"board-2000,theme:responses-and-chat-compat,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0056
"Prepare safe rollout for ""Bug: Kiro/BuilderId tokens can collide when email/profile_arn are empty; refresh token lifecycle not handled"" via flags, migration docs, and backward-compat tests.",Execution item CP2K-0059 | Source: router-for-me/CLIProxyAPIPlus issue#90 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/90 | Implementation note: Expand quickstart and troubleshooting docs with copy-paste examples and expected outputs. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,thinking-and-reasoning,yes,issue,router-for-me/CLIProxyAPIPlus,issue#90,https://github.com/router-for-me/CLIProxyAPIPlus/issues/90,"board-2000,theme:thinking-and-reasoning,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0059
"Standardize naming/metadata affected by ""[Bug] Amazon Q endpoint returns HTTP 400 ValidationException (wrong CLI/KIRO_CLI origin)"" across both repos and docs.","Execution item CP2K-0060 | Source: router-for-me/CLIProxyAPIPlus issue#89 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/89 | Implementation note: Add contract tests for malformed payloads, missing fields, and legacy/new mixed parameters. | Tracking rule: keep source->solution mapping and update Status as work progresses.",proposed,P1,wave-1,S,responses-and-chat-compat,yes,issue,router-for-me/CLIProxyAPIPlus,issue#89,https://github.com/router-for-me/CLIProxyAPIPlus/issues/89,"board-2000,theme:responses-and-chat-compat,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0060
"Harden ""Cursor Issue"" with stricter validation, safer defaults, and explicit fallback semantics.",Execution item CP2K-0062 | Source: router-for-me/CLIProxyAPIPlus issue#86 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/86 | Implementation note: Add failing-before/failing-after regression tests and update golden fixtures for each supported provider. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,responses-and-chat-compat,yes,issue,router-for-me/CLIProxyAPIPlus,issue#86,https://github.com/router-for-me/CLIProxyAPIPlus/issues/86,"board-2000,theme:responses-and-chat-compat,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0062
"Operationalize ""Feature request: Configurable HTTP request timeout for Extended Thinking models"" with observability, runbook updates, and deployment safeguards.",Execution item CP2K-0063 | Source: router-for-me/CLIProxyAPIPlus issue#84 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/84 | Implementation note: Improve error diagnostics and add actionable remediation text in CLI and docs. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,thinking-and-reasoning,yes,issue,router-for-me/CLIProxyAPIPlus,issue#84,https://github.com/router-for-me/CLIProxyAPIPlus/issues/84,"board-2000,theme:thinking-and-reasoning,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0063
"Generalize ""kiro请求偶尔报错event stream fatal"" into provider-agnostic translation/utilities to reduce duplicate logic.",Execution item CP2K-0064 | Source: router-for-me/CLIProxyAPIPlus issue#83 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/83 | Implementation note: Refactor translation layer to isolate provider transform logic from transport concerns. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,websocket-and-streaming,yes,issue,router-for-me/CLIProxyAPIPlus,issue#83,https://github.com/router-for-me/CLIProxyAPIPlus/issues/83,"board-2000,theme:websocket-and-streaming,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0064
"Extend docs for ""[建议] 技术大佬考虑可以有机会新增一堆逆向平台"" with quickstart snippets and troubleshooting decision trees.",Execution item CP2K-0066 | Source: router-for-me/CLIProxyAPIPlus issue#79 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/79 | Implementation note: Add staged rollout controls (feature flags) with safe defaults and migration notes. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,oauth-and-authentication,yes,issue,router-for-me/CLIProxyAPIPlus,issue#79,https://github.com/router-for-me/CLIProxyAPIPlus/issues/79,"board-2000,theme:oauth-and-authentication,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0066
"Create or refresh provider quickstart derived from ""kiro请求的数据好像一大就会出错,导致cc写入文件失败"" with setup/auth/model/sanity-check flow.",Execution item CP2K-0068 | Source: router-for-me/CLIProxyAPIPlus issue#77 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/77 | Implementation note: Benchmark p50/p95 latency and memory; reject regressions in CI quality gate. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,docs-quickstarts,yes,issue,router-for-me/CLIProxyAPIPlus,issue#77,https://github.com/router-for-me/CLIProxyAPIPlus/issues/77,"board-2000,theme:docs-quickstarts,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0068
"Operationalize ""How to use KIRO with IAM?"" with observability, runbook updates, and deployment safeguards.",Execution item CP2K-0073 | Source: router-for-me/CLIProxyAPIPlus issue#56 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/56 | Implementation note: Improve error diagnostics and add actionable remediation text in CLI and docs. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,oauth-and-authentication,yes,issue,router-for-me/CLIProxyAPIPlus,issue#56,https://github.com/router-for-me/CLIProxyAPIPlus/issues/56,"board-2000,theme:oauth-and-authentication,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0073
"Generalize ""[Bug] Models from Codex (openai) are not accessible when Copilot is added"" into provider-agnostic translation/utilities to reduce duplicate logic.",Execution item CP2K-0074 | Source: router-for-me/CLIProxyAPIPlus issue#43 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/43 | Implementation note: Refactor translation layer to isolate provider transform logic from transport concerns. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,provider-model-registry,yes,issue,router-for-me/CLIProxyAPIPlus,issue#43,https://github.com/router-for-me/CLIProxyAPIPlus/issues/43,"board-2000,theme:provider-model-registry,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0074
"Improve CLI UX around ""model gpt-5.1-codex-mini is not accessible via the /chat/completions endpoint"" with clearer commands, flags, and immediate validation feedback.",Execution item CP2K-0075 | Source: router-for-me/CLIProxyAPIPlus issue#41 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/41 | Implementation note: Instrument structured logs/metrics around request normalize->translate->dispatch lifecycle. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,responses-and-chat-compat,yes,issue,router-for-me/CLIProxyAPIPlus,issue#41,https://github.com/router-for-me/CLIProxyAPIPlus/issues/41,"board-2000,theme:responses-and-chat-compat,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0075
"Prepare safe rollout for ""lack of thinking signature in kiro's non-stream response cause incompatibility with some ai clients (specifically cherry studio)"" via flags, migration docs, and backward-compat tests.",Execution item CP2K-0079 | Source: router-for-me/CLIProxyAPIPlus issue#27 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/27 | Implementation note: Expand quickstart and troubleshooting docs with copy-paste examples and expected outputs. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,thinking-and-reasoning,yes,issue,router-for-me/CLIProxyAPIPlus,issue#27,https://github.com/router-for-me/CLIProxyAPIPlus/issues/27,"board-2000,theme:thinking-and-reasoning,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0079
"Standardize naming/metadata affected by ""I did not find the Kiro entry in the Web UI"" across both repos and docs.","Execution item CP2K-0080 | Source: router-for-me/CLIProxyAPIPlus issue#26 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/26 | Implementation note: Add contract tests for malformed payloads, missing fields, and legacy/new mixed parameters. | Tracking rule: keep source->solution mapping and update Status as work progresses.",proposed,P1,wave-1,S,oauth-and-authentication,yes,issue,router-for-me/CLIProxyAPIPlus,issue#26,https://github.com/router-for-me/CLIProxyAPIPlus/issues/26,"board-2000,theme:oauth-and-authentication,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0080
"Follow up ""Kiro (AWS CodeWhisperer) - Stream error, status: 400"" by closing compatibility gaps and locking in regression coverage.",Execution item CP2K-0081 | Source: router-for-me/CLIProxyAPIPlus issue#7 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/7 | Implementation note: Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,thinking-and-reasoning,yes,issue,router-for-me/CLIProxyAPIPlus,issue#7,https://github.com/router-for-me/CLIProxyAPIPlus/issues/7,"board-2000,theme:thinking-and-reasoning,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0081
"Follow up ""Why a separate repo?"" by closing compatibility gaps and locking in regression coverage.",Execution item CP2K-0251 | Source: router-for-me/CLIProxyAPIPlus discussion#170 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/discussions/170 | Implementation note: Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,oauth-and-authentication,yes,discussion,router-for-me/CLIProxyAPIPlus,discussion#170,https://github.com/router-for-me/CLIProxyAPIPlus/discussions/170,"board-2000,theme:oauth-and-authentication,prio:p1,wave:wave-1,effort:s,kind:discussion",CP2K-0251
"Harden ""How do I perform GitHub OAuth authentication? I can't find the entrance."" with stricter validation, safer defaults, and explicit fallback semantics.",Execution item CP2K-0252 | Source: router-for-me/CLIProxyAPIPlus discussion#215 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/discussions/215 | Implementation note: Add failing-before/failing-after regression tests and update golden fixtures for each supported provider. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,oauth-and-authentication,yes,discussion,router-for-me/CLIProxyAPIPlus,discussion#215,https://github.com/router-for-me/CLIProxyAPIPlus/discussions/215,"board-2000,theme:oauth-and-authentication,prio:p1,wave:wave-1,effort:s,kind:discussion",CP2K-0252
"Create or refresh provider quickstart derived from ""feat: support image content in tool result messages (OpenAI ↔ Claude translation)"" with setup/auth/model/sanity-check flow.",Execution item CP2K-0255 | Source: router-for-me/CLIProxyAPI issue#1670 | Source URL: https://github.com/router-for-me/CLIProxyAPI/issues/1670 | Implementation note: Instrument structured logs/metrics around request normalize->translate->dispatch lifecycle. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,docs-quickstarts,yes,issue,router-for-me/CLIProxyAPI,issue#1670,https://github.com/router-for-me/CLIProxyAPI/issues/1670,"board-2000,theme:docs-quickstarts,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0255
