id,theme,title,priority,effort,wave,status,implementation_ready,source_kind,source_repo,source_ref,source_url,implementation_note
CP2K-0062,responses-and-chat-compat,"Harden ""Cursor Issue"" with stricter validation, safer defaults, and explicit fallback semantics.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#86,https://github.com/router-for-me/CLIProxyAPIPlus/issues/86,Add failing-before/failing-after regression tests and update golden fixtures for each supported provider.
CP2K-0063,thinking-and-reasoning,"Operationalize ""Feature request: Configurable HTTP request timeout for Extended Thinking models"" with observability, runbook updates, and deployment safeguards.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#84,https://github.com/router-for-me/CLIProxyAPIPlus/issues/84,Improve error diagnostics and add actionable remediation text in CLI and docs.
CP2K-0064,websocket-and-streaming,"Generalize ""kiro请求偶尔报错event stream fatal"" into provider-agnostic translation/utilities to reduce duplicate logic.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#83,https://github.com/router-for-me/CLIProxyAPIPlus/issues/83,Refactor translation layer to isolate provider transform logic from transport concerns.
CP2K-0066,oauth-and-authentication,"Extend docs for ""[建议] 技术大佬考虑可以有机会新增一堆逆向平台"" with quickstart snippets and troubleshooting decision trees.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#79,https://github.com/router-for-me/CLIProxyAPIPlus/issues/79,Add staged rollout controls (feature flags) with safe defaults and migration notes.
CP2K-0068,docs-quickstarts,"Create or refresh provider quickstart derived from ""kiro请求的数据好像一大就会出错,导致cc写入文件失败"" with setup/auth/model/sanity-check flow.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#77,https://github.com/router-for-me/CLIProxyAPIPlus/issues/77,Benchmark p50/p95 latency and memory; reject regressions in CI quality gate.
CP2K-0073,oauth-and-authentication,"Operationalize ""How to use KIRO with IAM?"" with observability, runbook updates, and deployment safeguards.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#56,https://github.com/router-for-me/CLIProxyAPIPlus/issues/56,Improve error diagnostics and add actionable remediation text in CLI and docs.
CP2K-0074,provider-model-registry,"Generalize ""[Bug] Models from Codex (openai) are not accessible when Copilot is added"" into provider-agnostic translation/utilities to reduce duplicate logic.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#43,https://github.com/router-for-me/CLIProxyAPIPlus/issues/43,Refactor translation layer to isolate provider transform logic from transport concerns.
CP2K-0075,responses-and-chat-compat,"Improve CLI UX around ""model gpt-5.1-codex-mini is not accessible via the /chat/completions endpoint"" with clearer commands, flags, and immediate validation feedback.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#41,https://github.com/router-for-me/CLIProxyAPIPlus/issues/41,Instrument structured logs/metrics around request normalize->translate->dispatch lifecycle.
CP2K-0079,thinking-and-reasoning,"Prepare safe rollout for ""lack of thinking signature in kiro's non-stream response cause incompatibility with some ai clients (specifically cherry studio)"" via flags, migration docs, and backward-compat tests.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#27,https://github.com/router-for-me/CLIProxyAPIPlus/issues/27,Expand quickstart and troubleshooting docs with copy-paste examples and expected outputs.
CP2K-0080,oauth-and-authentication,"Standardize naming/metadata affected by ""I did not find the Kiro entry in the Web UI"" across both repos and docs.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#26,https://github.com/router-for-me/CLIProxyAPIPlus/issues/26,"Add contract tests for malformed payloads, missing fields, and legacy/new mixed parameters."
CP2K-0081,thinking-and-reasoning,"Follow up ""Kiro (AWS CodeWhisperer) - Stream error, status: 400"" by closing compatibility gaps and locking in regression coverage.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#7,https://github.com/router-for-me/CLIProxyAPIPlus/issues/7,Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry.
CP2K-0251,oauth-and-authentication,"Follow up ""Why a separate repo?"" by closing compatibility gaps and locking in regression coverage.",P1,S,wave-1,proposed,yes,discussion,router-for-me/CLIProxyAPIPlus,discussion#170,https://github.com/router-for-me/CLIProxyAPIPlus/discussions/170,Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry.
CP2K-0252,oauth-and-authentication,"Harden ""How do I perform GitHub OAuth authentication? I can't find the entrance."" with stricter validation, safer defaults, and explicit fallback semantics.",P1,S,wave-1,proposed,yes,discussion,router-for-me/CLIProxyAPIPlus,discussion#215,https://github.com/router-for-me/CLIProxyAPIPlus/discussions/215,Add failing-before/failing-after regression tests and update golden fixtures for each supported provider.
CP2K-0255,docs-quickstarts,"Create or refresh provider quickstart derived from ""feat: support image content in tool result messages (OpenAI ↔ Claude translation)"" with setup/auth/model/sanity-check flow.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1670,https://github.com/router-for-me/CLIProxyAPI/issues/1670,Instrument structured logs/metrics around request normalize->translate->dispatch lifecycle.
CP2K-0257,responses-and-chat-compat,"Add robust stream/non-stream parity tests for ""Need maintainer-handled codex translator compatibility for Responses compaction fields"" across supported providers.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1667,https://github.com/router-for-me/CLIProxyAPI/issues/1667,Harden edge-case parsing for stream and non-stream payload variants.
CP2K-0258,responses-and-chat-compat,"Refactor internals touched by ""codex: usage_limit_reached (429) should honor resets_at/resets_in_seconds as next_retry_after"" to reduce coupling and improve maintainability.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1666,https://github.com/router-for-me/CLIProxyAPI/issues/1666,Benchmark p50/p95 latency and memory; reject regressions in CI quality gate.
CP2K-0260,thinking-and-reasoning,"Standardize naming/metadata affected by ""fix(claude): token exchange blocked by Cloudflare managed challenge on console.anthropic.com"" across both repos and docs.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1659,https://github.com/router-for-me/CLIProxyAPI/issues/1659,"Add contract tests for malformed payloads, missing fields, and legacy/new mixed parameters."
CP2K-0263,responses-and-chat-compat,"Operationalize ""All credentials for model claude-sonnet-4-6 are cooling down"" with observability, runbook updates, and deployment safeguards.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1655,https://github.com/router-for-me/CLIProxyAPI/issues/1655,Improve error diagnostics and add actionable remediation text in CLI and docs.
CP2K-0265,thinking-and-reasoning,"Improve CLI UX around ""Claude Sonnet 4.5 models are deprecated - please remove from panel"" with clearer commands, flags, and immediate validation feedback.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1651,https://github.com/router-for-me/CLIProxyAPI/issues/1651,Instrument structured logs/metrics around request normalize->translate->dispatch lifecycle.
CP2K-0267,thinking-and-reasoning,"Add robust stream/non-stream parity tests for ""codex 返回 Unsupported parameter: response_format"" across supported providers.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1647,https://github.com/router-for-me/CLIProxyAPI/issues/1647,Harden edge-case parsing for stream and non-stream payload variants.
CP2K-0268,thinking-and-reasoning,"Refactor internals touched by ""Bug: Invalid JSON payload when tool_result has no content field (antigravity translator)"" to reduce coupling and improve maintainability.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1646,https://github.com/router-for-me/CLIProxyAPI/issues/1646,Benchmark p50/p95 latency and memory; reject regressions in CI quality gate.
CP2K-0272,docs-quickstarts,"Create or refresh provider quickstart derived from ""是否支持微软账号的反代？"" with setup/auth/model/sanity-check flow.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1632,https://github.com/router-for-me/CLIProxyAPI/issues/1632,Add failing-before/failing-after regression tests and update golden fixtures for each supported provider.
CP2K-0274,thinking-and-reasoning,"Generalize ""Claude Sonnet 4.5 is no longer available. Please switch to Claude Sonnet 4.6."" into provider-agnostic translation/utilities to reduce duplicate logic.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1630,https://github.com/router-for-me/CLIProxyAPI/issues/1630,Refactor translation layer to isolate provider transform logic from transport concerns.
CP2K-0277,thinking-and-reasoning,"Add robust stream/non-stream parity tests for ""Question: applyClaudeHeaders() — how were these defaults chosen?"" across supported providers.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1621,https://github.com/router-for-me/CLIProxyAPI/issues/1621,Harden edge-case parsing for stream and non-stream payload variants.
CP2K-0278,provider-model-registry,"Refactor internals touched by ""[BUG] claude code 接入 cliproxyapi 使用时，模型的输出没有呈现流式，而是一下子蹦出来回答结果"" to reduce coupling and improve maintainability.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1620,https://github.com/router-for-me/CLIProxyAPI/issues/1620,Benchmark p50/p95 latency and memory; reject regressions in CI quality gate.
CP2K-0281,provider-model-registry,"Follow up ""[bug] codex oauth登录流程失败"" by closing compatibility gaps and locking in regression coverage.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1612,https://github.com/router-for-me/CLIProxyAPI/issues/1612,Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry.
CP2K-0282,oauth-and-authentication,"Harden ""qwen auth 里获取到了 qwen3.5，但是 ai 客户端获取不到这个模型"" with stricter validation, safer defaults, and explicit fallback semantics.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1611,https://github.com/router-for-me/CLIProxyAPI/issues/1611,Add failing-before/failing-after regression tests and update golden fixtures for each supported provider.
CP2K-0283,responses-and-chat-compat,"Operationalize ""fix: handle response.function_call_arguments.done in codex→claude streaming translator"" with observability, runbook updates, and deployment safeguards.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1609,https://github.com/router-for-me/CLIProxyAPI/issues/1609,Improve error diagnostics and add actionable remediation text in CLI and docs.
CP2K-0286,thinking-and-reasoning,"Extend docs for ""[Feature Request] Antigravity channel should support routing claude-haiku-4-5-20251001 model (used by Claude Code pre-flight checks)"" with quickstart snippets and troubleshooting decision trees.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1596,https://github.com/router-for-me/CLIProxyAPI/issues/1596,Add staged rollout controls (feature flags) with safe defaults and migration notes.
CP2K-0289,docs-quickstarts,"Create or refresh provider quickstart derived from ""[Bug] Claude Code 2.1.37 random cch in x-anthropic-billing-header causes severe prompt-cache miss on third-party upstreams"" with setup/auth/model/sanity-check flow.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1592,https://github.com/router-for-me/CLIProxyAPI/issues/1592,Expand quickstart and troubleshooting docs with copy-paste examples and expected outputs.
CP2K-0291,responses-and-chat-compat,"Follow up ""配额管理可以刷出额度，但是调用的时候提示额度不足"" by closing compatibility gaps and locking in regression coverage.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1590,https://github.com/router-for-me/CLIProxyAPI/issues/1590,Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry.
CP2K-0293,thinking-and-reasoning,"Operationalize ""iflow GLM 5 时不时会返回 406"" with observability, runbook updates, and deployment safeguards.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1588,https://github.com/router-for-me/CLIProxyAPI/issues/1588,Improve error diagnostics and add actionable remediation text in CLI and docs.
CP2K-0296,thinking-and-reasoning,"Extend docs for ""bug: Invalid thinking block signature when switching from Gemini CLI to Claude OAuth mid-conversation"" with quickstart snippets and troubleshooting decision trees.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1584,https://github.com/router-for-me/CLIProxyAPI/issues/1584,Add staged rollout controls (feature flags) with safe defaults and migration notes.
CP2K-0297,thinking-and-reasoning,"Add robust stream/non-stream parity tests for ""I saved 10M tokens (89%) on my Claude Code sessions with a CLI proxy"" across supported providers.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1583,https://github.com/router-for-me/CLIProxyAPI/issues/1583,Harden edge-case parsing for stream and non-stream payload variants.
CP2K-0298,responses-and-chat-compat,"Refactor internals touched by ""[bug]? gpt-5.3-codex-spark 在 team 账户上报错 400"" to reduce coupling and improve maintainability.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1582,https://github.com/router-for-me/CLIProxyAPI/issues/1582,Benchmark p50/p95 latency and memory; reject regressions in CI quality gate.
CP2K-0302,oauth-and-authentication,"Harden ""Port 8317 becomes unreachable after running for some time, recovers immediately after SSH login"" with stricter validation, safer defaults, and explicit fallback semantics.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1575,https://github.com/router-for-me/CLIProxyAPI/issues/1575,Add failing-before/failing-after regression tests and update golden fixtures for each supported provider.
CP2K-0303,thinking-and-reasoning,"Operationalize ""Support for gpt-5.3-codex-spark"" with observability, runbook updates, and deployment safeguards.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1573,https://github.com/router-for-me/CLIProxyAPI/issues/1573,Improve error diagnostics and add actionable remediation text in CLI and docs.
CP2K-0306,docs-quickstarts,"Create or refresh provider quickstart derived from ""能否再难用一点?!"" with setup/auth/model/sanity-check flow.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1564,https://github.com/router-for-me/CLIProxyAPI/issues/1564,Add staged rollout controls (feature flags) with safe defaults and migration notes.
CP2K-0307,thinking-and-reasoning,"Add robust stream/non-stream parity tests for ""Cache usage through Claude oAuth always 0"" across supported providers.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1562,https://github.com/router-for-me/CLIProxyAPI/issues/1562,Harden edge-case parsing for stream and non-stream payload variants.
CP2K-0308,oauth-and-authentication,"Refactor internals touched by ""antigravity 无法使用"" to reduce coupling and improve maintainability.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1561,https://github.com/router-for-me/CLIProxyAPI/issues/1561,Benchmark p50/p95 latency and memory; reject regressions in CI quality gate.
CP2K-0310,thinking-and-reasoning,"Standardize naming/metadata affected by ""Claude Code 调用 nvidia 发现 无法正常使用bash grep类似的工具"" across both repos and docs.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1557,https://github.com/router-for-me/CLIProxyAPI/issues/1557,"Add contract tests for malformed payloads, missing fields, and legacy/new mixed parameters."
CP2K-0311,oauth-and-authentication,"Follow up ""Gemini CLI: 额度获取失败：请检查凭证状态"" by closing compatibility gaps and locking in regression coverage.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1556,https://github.com/router-for-me/CLIProxyAPI/issues/1556,Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry.
CP2K-0314,oauth-and-authentication,"Generalize ""Kimi的OAuth无法使用"" into provider-agnostic translation/utilities to reduce duplicate logic.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1553,https://github.com/router-for-me/CLIProxyAPI/issues/1553,Refactor translation layer to isolate provider transform logic from transport concerns.
CP2K-0315,oauth-and-authentication,"Improve CLI UX around ""grok的OAuth登录认证可以支持下吗？ 谢谢！"" with clearer commands, flags, and immediate validation feedback.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1552,https://github.com/router-for-me/CLIProxyAPI/issues/1552,Instrument structured logs/metrics around request normalize->translate->dispatch lifecycle.
CP2K-0316,thinking-and-reasoning,"Extend docs for ""iflow executor: token refresh failed"" with quickstart snippets and troubleshooting decision trees.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1551,https://github.com/router-for-me/CLIProxyAPI/issues/1551,Add staged rollout controls (feature flags) with safe defaults and migration notes.
CP2K-0317,thinking-and-reasoning,"Add robust stream/non-stream parity tests for ""为什么gemini3会报错"" across supported providers.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1549,https://github.com/router-for-me/CLIProxyAPI/issues/1549,Harden edge-case parsing for stream and non-stream payload variants.
CP2K-0323,docs-quickstarts,"Create or refresh provider quickstart derived from ""佬们，隔壁很多账号403啦，这里一切正常吗？"" with setup/auth/model/sanity-check flow.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1541,https://github.com/router-for-me/CLIProxyAPI/issues/1541,Improve error diagnostics and add actionable remediation text in CLI and docs.
CP2K-0324,thinking-and-reasoning,"Generalize ""feat(thinking): support Claude output_config.effort parameter (Opus 4.6)"" into provider-agnostic translation/utilities to reduce duplicate logic.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1540,https://github.com/router-for-me/CLIProxyAPI/issues/1540,Refactor translation layer to isolate provider transform logic from transport concerns.
CP2K-0327,thinking-and-reasoning,"Add robust stream/non-stream parity tests for ""[Bug] Persistent 400 ""Invalid Argument"" error with claude-opus-4-6-thinking model (with and without thinking budget)"" across supported providers.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1533,https://github.com/router-for-me/CLIProxyAPI/issues/1533,Harden edge-case parsing for stream and non-stream payload variants.
CP2K-0329,thinking-and-reasoning,"Prepare safe rollout for ""bug: proxy_ prefix applied to tool_choice.name but not tools[].name causes 400 errors on OAuth requests"" via flags, migration docs, and backward-compat tests.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1530,https://github.com/router-for-me/CLIProxyAPI/issues/1530,Expand quickstart and troubleshooting docs with copy-paste examples and expected outputs.
CP2K-0333,websocket-and-streaming,"Operationalize ""The account has available credit, but a 503 or 429 error is occurring."" with observability, runbook updates, and deployment safeguards.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPI,issue#1521,https://github.com/router-for-me/CLIProxyAPI/issues/1521,Improve error diagnostics and add actionable remediation text in CLI and docs.
