id,theme,title,priority,effort,source_kind,source_repo,source_ref,source_url,status,action
CPB-0011,general-polish,"Follow up on ""kiro账号被封"" by closing compatibility gaps and preventing regressions in adjacent providers.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#221,https://github.com/router-for-me/CLIProxyAPIPlus/issues/221,proposed,Implement normalized parameter ingestion with strict backward compatibility and explicit telemetry counters.
CPB-0012,thinking-and-reasoning,"Harden ""Opus 4.6"" with clearer validation, safer defaults, and defensive fallbacks.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#219,https://github.com/router-for-me/CLIProxyAPIPlus/issues/219,proposed,Add regression tests that fail before fix and pass after patch; include fixture updates for cross-provider mapping.
CPB-0013,responses-and-chat-compat,"Operationalize ""Bug: MergeAdjacentMessages drops tool_calls from assistant messages"" with observability, alerting thresholds, and runbook updates.",P3,S,issue,router-for-me/CLIProxyAPIPlus,issue#217,https://github.com/router-for-me/CLIProxyAPIPlus/issues/217,proposed,Improve user-facing error messages and add deterministic remediation text with command examples.
CPB-0014,thinking-and-reasoning,"Convert ""Add support for proxying models from kilocode CLI"" into a provider-agnostic pattern and codify in shared translation utilities.",P3,S,issue,router-for-me/CLIProxyAPIPlus,issue#213,https://github.com/router-for-me/CLIProxyAPIPlus/issues/213,proposed,Document behavior in provider quickstart and compatibility matrix with concrete request/response examples.
CPB-0015,responses-and-chat-compat,"Add DX polish around ""[Bug] Kiro 与 Ampcode 的 Bash 工具参数不兼容"" through improved command ergonomics and faster feedback loops.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#210,https://github.com/router-for-me/CLIProxyAPIPlus/issues/210,proposed,Refactor handler to isolate transformation logic from transport concerns and reduce side effects.
CPB-0016,provider-model-registry,"Expand docs and examples for ""[Feature Request] Add default oauth-model-alias for Kiro channel (like Antigravity)"" with copy-paste quickstart and troubleshooting section.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#208,https://github.com/router-for-me/CLIProxyAPIPlus/issues/208,proposed,"Introduce structured logs for input config, normalized config, and outbound payload diff (sensitive fields redacted)."
CPB-0017,docs-quickstarts,"Create/refresh provider quickstart derived from ""bug: Nullable type arrays in tool schemas cause 400 error on Antigravity/Droid Factory"" including setup, auth, model select, and sanity-check commands.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#206,https://github.com/router-for-me/CLIProxyAPIPlus/issues/206,proposed,Add config toggles for safe rollout and default them to preserve existing deployments.
CPB-0018,thinking-and-reasoning,"Refactor implementation behind ""GitHub Copilot CLI 使用方法"" to reduce complexity and isolate transformation boundaries.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#202,https://github.com/router-for-me/CLIProxyAPIPlus/issues/202,proposed,Benchmark latency and memory before/after; gate merge on no regression for p50/p95.
CPB-0019,go-cli-extraction,"Port relevant thegent-managed flow implied by ""failed to save config: open /CLIProxyAPI/config.yaml: read-only file system"" into first-class cliproxy Go CLI command(s) with interactive setup support.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#201,https://github.com/router-for-me/CLIProxyAPIPlus/issues/201,proposed,"Add API contract tests covering malformed input, missing fields, and mixed legacy/new parameter names."
CPB-0020,general-polish,"Standardize metadata and naming conventions touched by ""gemini能不能设置配额,自动禁用 ,自动启用?"" across both repos.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#200,https://github.com/router-for-me/CLIProxyAPIPlus/issues/200,proposed,Create migration note and changelog entry with explicit compatibility guarantees and caveats.
CPB-0021,provider-model-registry,"Follow up on ""Cursor CLI \ Auth Support"" by closing compatibility gaps and preventing regressions in adjacent providers.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#198,https://github.com/router-for-me/CLIProxyAPIPlus/issues/198,proposed,Implement normalized parameter ingestion with strict backward compatibility and explicit telemetry counters.
CPB-0022,oauth-and-authentication,"Harden ""Why no opus 4.6 on github copilot auth"" with clearer validation, safer defaults, and defensive fallbacks.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#196,https://github.com/router-for-me/CLIProxyAPIPlus/issues/196,proposed,Add regression tests that fail before fix and pass after patch; include fixture updates for cross-provider mapping.
CPB-0023,integration-api-bindings,"Define non-subprocess integration path related to ""why no kiro in dashboard"" (Go bindings surface + HTTP fallback contract + version negotiation).",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#183,https://github.com/router-for-me/CLIProxyAPIPlus/issues/183,proposed,Improve user-facing error messages and add deterministic remediation text with command examples.
CPB-0024,general-polish,"Convert ""OpenAI-MLX-Server and vLLM-MLX Support?"" into a provider-agnostic pattern and codify in shared translation utilities.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#179,https://github.com/router-for-me/CLIProxyAPIPlus/issues/179,proposed,Document behavior in provider quickstart and compatibility matrix with concrete request/response examples.
CPB-0025,thinking-and-reasoning,"Add DX polish around ""Claude thought_signature forwarded to Gemini causes Base64 decode error"" through improved command ergonomics and faster feedback loops.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#178,https://github.com/router-for-me/CLIProxyAPIPlus/issues/178,proposed,Refactor handler to isolate transformation logic from transport concerns and reduce side effects.
CPB-0026,thinking-and-reasoning,"Expand docs and examples for ""Kiro Token 导入失败: Refresh token is required"" with copy-paste quickstart and troubleshooting section.",P3,S,issue,router-for-me/CLIProxyAPIPlus,issue#177,https://github.com/router-for-me/CLIProxyAPIPlus/issues/177,proposed,"Introduce structured logs for input config, normalized config, and outbound payload diff (sensitive fields redacted)."
CPB-0027,general-polish,"Add QA scenarios for ""Kimi Code support"" including stream/non-stream parity and edge-case payloads.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#169,https://github.com/router-for-me/CLIProxyAPIPlus/issues/169,proposed,Add config toggles for safe rollout and default them to preserve existing deployments.
CPB-0028,general-polish,"Refactor implementation behind ""kiro如何看配额？"" to reduce complexity and isolate transformation boundaries.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#165,https://github.com/router-for-me/CLIProxyAPIPlus/issues/165,proposed,Benchmark latency and memory before/after; gate merge on no regression for p50/p95.
CPB-0029,dev-runtime-refresh,"Add process-compose/HMR refresh workflow tied to ""kiro反代的Write工具json截断问题，返回的文件路径经常是错误的"" so local config and runtime can be reloaded deterministically.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#164,https://github.com/router-for-me/CLIProxyAPIPlus/issues/164,proposed,"Add API contract tests covering malformed input, missing fields, and mixed legacy/new parameter names."
CPB-0030,responses-and-chat-compat,"Standardize metadata and naming conventions touched by ""fix(kiro): handle empty content in messages to prevent Bad Request errors"" across both repos.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#163,https://github.com/router-for-me/CLIProxyAPIPlus/issues/163,proposed,Create migration note and changelog entry with explicit compatibility guarantees and caveats.
CPB-0031,responses-and-chat-compat,"Follow up on ""在配置文件中支持为所有 OAuth 渠道自定义上游 URL"" by closing compatibility gaps and preventing regressions in adjacent providers.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#158,https://github.com/router-for-me/CLIProxyAPIPlus/issues/158,proposed,Implement normalized parameter ingestion with strict backward compatibility and explicit telemetry counters.
CPB-0032,general-polish,"Harden ""kiro反代出现重复输出的情况"" with clearer validation, safer defaults, and defensive fallbacks.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#160,https://github.com/router-for-me/CLIProxyAPIPlus/issues/160,proposed,Add regression tests that fail before fix and pass after patch; include fixture updates for cross-provider mapping.
CPB-0033,thinking-and-reasoning,"Operationalize ""kiro IDC 刷新 token 失败"" with observability, alerting thresholds, and runbook updates.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#149,https://github.com/router-for-me/CLIProxyAPIPlus/issues/149,proposed,Improve user-facing error messages and add deterministic remediation text with command examples.
CPB-0034,docs-quickstarts,"Create/refresh provider quickstart derived from ""请求docker部署支持arm架构的机器！感谢。"" including setup, auth, model select, and sanity-check commands.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#147,https://github.com/router-for-me/CLIProxyAPIPlus/issues/147,proposed,Document behavior in provider quickstart and compatibility matrix with concrete request/response examples.
CPB-0035,websocket-and-streaming,"Add DX polish around ""[Feature Request] 请求增加 Kiro 配额的展示功能"" through improved command ergonomics and faster feedback loops.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#146,https://github.com/router-for-me/CLIProxyAPIPlus/issues/146,proposed,Refactor handler to isolate transformation logic from transport concerns and reduce side effects.
CPB-0036,thinking-and-reasoning,"Expand docs and examples for ""[Bug]进一步完善 openai兼容模式对 claude 模型的支持（完善 协议格式转换 ）"" with copy-paste quickstart and troubleshooting section.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#145,https://github.com/router-for-me/CLIProxyAPIPlus/issues/145,proposed,"Introduce structured logs for input config, normalized config, and outbound payload diff (sensitive fields redacted)."
CPB-0037,thinking-and-reasoning,"Add QA scenarios for ""完善 claude openai兼容渠道的格式转换"" including stream/non-stream parity and edge-case payloads.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#142,https://github.com/router-for-me/CLIProxyAPIPlus/issues/142,proposed,Add config toggles for safe rollout and default them to preserve existing deployments.
CPB-0038,go-cli-extraction,"Port relevant thegent-managed flow implied by ""Kimi For Coding Support / 请求为 Kimi 添加编程支持"" into first-class cliproxy Go CLI command(s) with interactive setup support.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#141,https://github.com/router-for-me/CLIProxyAPIPlus/issues/141,proposed,Benchmark latency and memory before/after; gate merge on no regression for p50/p95.
CPB-0039,responses-and-chat-compat,"Ensure rollout safety for ""kiro idc登录需要手动刷新状态"" via feature flags, staged defaults, and migration notes.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#136,https://github.com/router-for-me/CLIProxyAPIPlus/issues/136,proposed,"Add API contract tests covering malformed input, missing fields, and mixed legacy/new parameter names."
CPB-0040,thinking-and-reasoning,"Standardize metadata and naming conventions touched by ""[Bug Fix] 修复 Kiro 的Claude模型非流式请求 output_tokens 为 0 导致的用量统计缺失"" across both repos.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#134,https://github.com/router-for-me/CLIProxyAPIPlus/issues/134,proposed,Create migration note and changelog entry with explicit compatibility guarantees and caveats.
CPB-0041,general-polish,"Follow up on ""Routing strategy ""fill-first"" is not working as expected"" by closing compatibility gaps and preventing regressions in adjacent providers.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#133,https://github.com/router-for-me/CLIProxyAPIPlus/issues/133,proposed,Implement normalized parameter ingestion with strict backward compatibility and explicit telemetry counters.
CPB-0042,responses-and-chat-compat,"Harden ""WARN kiro_executor.go:1189 kiro: received 400 error (attempt 1/3), body: {""message"":""Improperly formed request."",""reason"":null}"" with clearer validation, safer defaults, and defensive fallbacks.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#131,https://github.com/router-for-me/CLIProxyAPIPlus/issues/131,proposed,Add regression tests that fail before fix and pass after patch; include fixture updates for cross-provider mapping.
CPB-0043,cli-ux-dx,"Operationalize ""CLIProxyApiPlus不支持像CLIProxyApi一样使用ClawCloud云部署吗？"" with observability, alerting thresholds, and runbook updates.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#129,https://github.com/router-for-me/CLIProxyAPIPlus/issues/129,proposed,Improve user-facing error messages and add deterministic remediation text with command examples.
CPB-0044,cli-ux-dx,"Convert ""kiro的social凭证无法刷新过期时间。"" into a provider-agnostic pattern and codify in shared translation utilities.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#128,https://github.com/router-for-me/CLIProxyAPIPlus/issues/128,proposed,Document behavior in provider quickstart and compatibility matrix with concrete request/response examples.
CPB-0045,responses-and-chat-compat,"Add DX polish around ""Error 403"" through improved command ergonomics and faster feedback loops.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#125,https://github.com/router-for-me/CLIProxyAPIPlus/issues/125,proposed,Refactor handler to isolate transformation logic from transport concerns and reduce side effects.
CPB-0046,integration-api-bindings,"Define non-subprocess integration path related to ""Gemini3无法生图"" (Go bindings surface + HTTP fallback contract + version negotiation).",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#122,https://github.com/router-for-me/CLIProxyAPIPlus/issues/122,proposed,"Introduce structured logs for input config, normalized config, and outbound payload diff (sensitive fields redacted)."
CPB-0047,thinking-and-reasoning,"Add QA scenarios for ""enterprise 账号 Kiro不是很稳定，很容易就403不可用了"" including stream/non-stream parity and edge-case payloads.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#118,https://github.com/router-for-me/CLIProxyAPIPlus/issues/118,proposed,Add config toggles for safe rollout and default them to preserve existing deployments.
CPB-0048,oauth-and-authentication,"Refactor implementation behind ""-kiro-aws-login 登录后一直封号"" to reduce complexity and isolate transformation boundaries.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#115,https://github.com/router-for-me/CLIProxyAPIPlus/issues/115,proposed,Benchmark latency and memory before/after; gate merge on no regression for p50/p95.
CPB-0049,provider-model-registry,"Ensure rollout safety for ""[Bug]Copilot Premium usage significantly amplified when using amp"" via feature flags, staged defaults, and migration notes.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#113,https://github.com/router-for-me/CLIProxyAPIPlus/issues/113,proposed,"Add API contract tests covering malformed input, missing fields, and mixed legacy/new parameter names."
CPB-0050,oauth-and-authentication,"Standardize metadata and naming conventions touched by ""Antigravity authentication failed"" across both repos.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#111,https://github.com/router-for-me/CLIProxyAPIPlus/issues/111,proposed,Create migration note and changelog entry with explicit compatibility guarantees and caveats.
CPB-0051,docs-quickstarts,"Create/refresh provider quickstart derived from ""大佬，什么时候搞个多账号管理呀"" including setup, auth, model select, and sanity-check commands.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#108,https://github.com/router-for-me/CLIProxyAPIPlus/issues/108,proposed,Implement normalized parameter ingestion with strict backward compatibility and explicit telemetry counters.
CPB-0052,oauth-and-authentication,"Harden ""日志中,一直打印auth file changed (WRITE)"" with clearer validation, safer defaults, and defensive fallbacks.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#105,https://github.com/router-for-me/CLIProxyAPIPlus/issues/105,proposed,Add regression tests that fail before fix and pass after patch; include fixture updates for cross-provider mapping.
CPB-0053,oauth-and-authentication,"Operationalize ""登录incognito参数无效"" with observability, alerting thresholds, and runbook updates.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#102,https://github.com/router-for-me/CLIProxyAPIPlus/issues/102,proposed,Improve user-facing error messages and add deterministic remediation text with command examples.
CPB-0054,thinking-and-reasoning,"Convert ""OpenAI-compat provider hardcodes /v1/models (breaks Z.ai v4: /api/coding/paas/v4/models)"" into a provider-agnostic pattern and codify in shared translation utilities.",P3,S,issue,router-for-me/CLIProxyAPIPlus,issue#101,https://github.com/router-for-me/CLIProxyAPIPlus/issues/101,proposed,Document behavior in provider quickstart and compatibility matrix with concrete request/response examples.
CPB-0055,general-polish,"Add DX polish around ""ADD TRAE IDE support"" through improved command ergonomics and faster feedback loops.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#97,https://github.com/router-for-me/CLIProxyAPIPlus/issues/97,proposed,Refactor handler to isolate transformation logic from transport concerns and reduce side effects.
CPB-0056,responses-and-chat-compat,"Expand docs and examples for ""Kiro currently has no authentication available"" with copy-paste quickstart and troubleshooting section.",P3,S,issue,router-for-me/CLIProxyAPIPlus,issue#96,https://github.com/router-for-me/CLIProxyAPIPlus/issues/96,proposed,"Introduce structured logs for input config, normalized config, and outbound payload diff (sensitive fields redacted)."
CPB-0057,go-cli-extraction,"Port relevant thegent-managed flow implied by ""GitHub Copilot Model Call Failure"" into first-class cliproxy Go CLI command(s) with interactive setup support.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#99,https://github.com/router-for-me/CLIProxyAPIPlus/issues/99,proposed,Add config toggles for safe rollout and default them to preserve existing deployments.
CPB-0058,dev-runtime-refresh,"Add process-compose/HMR refresh workflow tied to ""Feature: Add Veo Video Generation Support (Similar to Image Generation)"" so local config and runtime can be reloaded deterministically.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#94,https://github.com/router-for-me/CLIProxyAPIPlus/issues/94,proposed,Benchmark latency and memory before/after; gate merge on no regression for p50/p95.
CPB-0059,thinking-and-reasoning,"Ensure rollout safety for ""Bug: Kiro/BuilderId tokens can collide when email/profile_arn are empty; refresh token lifecycle not handled"" via feature flags, staged defaults, and migration notes.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#90,https://github.com/router-for-me/CLIProxyAPIPlus/issues/90,proposed,"Add API contract tests covering malformed input, missing fields, and mixed legacy/new parameter names."
CPB-0060,responses-and-chat-compat,"Standardize metadata and naming conventions touched by ""[Bug] Amazon Q endpoint returns HTTP 400 ValidationException (wrong CLI/KIRO_CLI origin)"" across both repos.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#89,https://github.com/router-for-me/CLIProxyAPIPlus/issues/89,proposed,Create migration note and changelog entry with explicit compatibility guarantees and caveats.
CPB-0061,provider-model-registry,"Follow up on ""UI 上没有 Kiro 配置的入口，或者说想添加 Kiro 支持，具体该怎么做"" by closing compatibility gaps and preventing regressions in adjacent providers.",P3,S,issue,router-for-me/CLIProxyAPIPlus,issue#87,https://github.com/router-for-me/CLIProxyAPIPlus/issues/87,proposed,Implement normalized parameter ingestion with strict backward compatibility and explicit telemetry counters.
CPB-0062,responses-and-chat-compat,"Harden ""Cursor Issue"" with clearer validation, safer defaults, and defensive fallbacks.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#86,https://github.com/router-for-me/CLIProxyAPIPlus/issues/86,proposed,Add regression tests that fail before fix and pass after patch; include fixture updates for cross-provider mapping.
CPB-0063,thinking-and-reasoning,"Operationalize ""Feature request: Configurable HTTP request timeout for Extended Thinking models"" with observability, alerting thresholds, and runbook updates.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#84,https://github.com/router-for-me/CLIProxyAPIPlus/issues/84,proposed,Improve user-facing error messages and add deterministic remediation text with command examples.
CPB-0064,responses-and-chat-compat,"Convert ""kiro请求偶尔报错event stream fatal"" into a provider-agnostic pattern and codify in shared translation utilities.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#83,https://github.com/router-for-me/CLIProxyAPIPlus/issues/83,proposed,Document behavior in provider quickstart and compatibility matrix with concrete request/response examples.
CPB-0065,error-handling-retries,"Add DX polish around ""failed to load config: failed to read config file: read /CLIProxyAPI/config.yaml: is a directory"" through improved command ergonomics and faster feedback loops.",P3,S,issue,router-for-me/CLIProxyAPIPlus,issue#81,https://github.com/router-for-me/CLIProxyAPIPlus/issues/81,proposed,Refactor handler to isolate transformation logic from transport concerns and reduce side effects.
CPB-0066,oauth-and-authentication,"Expand docs and examples for ""[建议] 技术大佬考虑可以有机会新增一堆逆向平台"" with copy-paste quickstart and troubleshooting section.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#79,https://github.com/router-for-me/CLIProxyAPIPlus/issues/79,proposed,"Introduce structured logs for input config, normalized config, and outbound payload diff (sensitive fields redacted)."
CPB-0067,thinking-and-reasoning,"Add QA scenarios for ""Issue with removed parameters - Sequential Thinking Tool Failure (nextThoughtNeeded undefined)"" including stream/non-stream parity and edge-case payloads.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#78,https://github.com/router-for-me/CLIProxyAPIPlus/issues/78,proposed,Add config toggles for safe rollout and default them to preserve existing deployments.
CPB-0068,docs-quickstarts,"Create/refresh provider quickstart derived from ""kiro请求的数据好像一大就会出错,导致cc写入文件失败"" including setup, auth, model select, and sanity-check commands.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#77,https://github.com/router-for-me/CLIProxyAPIPlus/issues/77,proposed,Benchmark latency and memory before/after; gate merge on no regression for p50/p95.
CPB-0069,integration-api-bindings,"Define non-subprocess integration path related to ""[Bug] Kiro multi-account support broken - auth file overwritten on re-login"" (Go bindings surface + HTTP fallback contract + version negotiation).",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#76,https://github.com/router-for-me/CLIProxyAPIPlus/issues/76,proposed,"Add API contract tests covering malformed input, missing fields, and mixed legacy/new parameter names."
CPB-0070,responses-and-chat-compat,"Standardize metadata and naming conventions touched by ""Claude Code WebSearch fails with 400 error when using Kiro/Amazon Q backend"" across both repos.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#72,https://github.com/router-for-me/CLIProxyAPIPlus/issues/72,proposed,Create migration note and changelog entry with explicit compatibility guarantees and caveats.
CPB-0071,responses-and-chat-compat,"Follow up on ""[BUG] Vision requests fail for ZAI (glm) and Copilot models with missing header / invalid parameter errors"" by closing compatibility gaps and preventing regressions in adjacent providers.",P3,S,issue,router-for-me/CLIProxyAPIPlus,issue#69,https://github.com/router-for-me/CLIProxyAPIPlus/issues/69,proposed,Implement normalized parameter ingestion with strict backward compatibility and explicit telemetry counters.
CPB-0072,general-polish,"Harden ""怎么更新iflow的模型列表。"" with clearer validation, safer defaults, and defensive fallbacks.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#66,https://github.com/router-for-me/CLIProxyAPIPlus/issues/66,proposed,Add regression tests that fail before fix and pass after patch; include fixture updates for cross-provider mapping.
CPB-0073,oauth-and-authentication,"Operationalize ""How to use KIRO with IAM?"" with observability, alerting thresholds, and runbook updates.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#56,https://github.com/router-for-me/CLIProxyAPIPlus/issues/56,proposed,Improve user-facing error messages and add deterministic remediation text with command examples.
CPB-0074,provider-model-registry,"Convert ""[Bug] Models from Codex (openai) are not accessible when Copilot is added"" into a provider-agnostic pattern and codify in shared translation utilities.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#43,https://github.com/router-for-me/CLIProxyAPIPlus/issues/43,proposed,Document behavior in provider quickstart and compatibility matrix with concrete request/response examples.
CPB-0075,responses-and-chat-compat,"Add DX polish around ""model gpt-5.1-codex-mini is not accessible via the /chat/completions endpoint"" through improved command ergonomics and faster feedback loops.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#41,https://github.com/router-for-me/CLIProxyAPIPlus/issues/41,proposed,Refactor handler to isolate transformation logic from transport concerns and reduce side effects.
CPB-0076,go-cli-extraction,"Port relevant thegent-managed flow implied by ""GitHub Copilot models seem to be hardcoded"" into first-class cliproxy Go CLI command(s) with interactive setup support.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#37,https://github.com/router-for-me/CLIProxyAPIPlus/issues/37,proposed,"Introduce structured logs for input config, normalized config, and outbound payload diff (sensitive fields redacted)."
CPB-0077,general-polish,"Add QA scenarios for ""plus版本只能自己构建吗？"" including stream/non-stream parity and edge-case payloads.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#34,https://github.com/router-for-me/CLIProxyAPIPlus/issues/34,proposed,Add config toggles for safe rollout and default them to preserve existing deployments.
CPB-0078,install-and-ops,"Refactor implementation behind ""kiro命令登录没有端口"" to reduce complexity and isolate transformation boundaries.",P2,S,issue,router-for-me/CLIProxyAPIPlus,issue#30,https://github.com/router-for-me/CLIProxyAPIPlus/issues/30,proposed,Benchmark latency and memory before/after; gate merge on no regression for p50/p95.
CPB-0079,thinking-and-reasoning,"Ensure rollout safety for ""lack of thinking signature in kiro's non-stream response cause incompatibility with some ai clients (specifically cherry studio)"" via feature flags, staged defaults, and migration notes.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#27,https://github.com/router-for-me/CLIProxyAPIPlus/issues/27,proposed,"Add API contract tests covering malformed input, missing fields, and mixed legacy/new parameter names."
CPB-0080,oauth-and-authentication,"Standardize metadata and naming conventions touched by ""I did not find the Kiro entry in the Web UI"" across both repos.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#26,https://github.com/router-for-me/CLIProxyAPIPlus/issues/26,proposed,Create migration note and changelog entry with explicit compatibility guarantees and caveats.
CPB-0081,thinking-and-reasoning,"Follow up on ""Kiro (AWS CodeWhisperer) - Stream error, status: 400"" by closing compatibility gaps and preventing regressions in adjacent providers.",P1,S,issue,router-for-me/CLIProxyAPIPlus,issue#7,https://github.com/router-for-me/CLIProxyAPIPlus/issues/7,proposed,Implement normalized parameter ingestion with strict backward compatibility and explicit telemetry counters.
CPB-0082,provider-model-registry,"Harden ""BUG: Cannot use Claude Models in Codex CLI"" with clearer validation, safer defaults, and defensive fallbacks.",P1,S,issue,router-for-me/CLIProxyAPI,issue#1671,https://github.com/router-for-me/CLIProxyAPI/issues/1671,proposed,Add regression tests that fail before fix and pass after patch; include fixture updates for cross-provider mapping.
CPB-0083,responses-and-chat-compat,"Operationalize ""feat: support image content in tool result messages (OpenAI ↔ Claude translation)"" with observability, alerting thresholds, and runbook updates.",P1,S,issue,router-for-me/CLIProxyAPI,issue#1670,https://github.com/router-for-me/CLIProxyAPI/issues/1670,proposed,Improve user-facing error messages and add deterministic remediation text with command examples.
CPB-0084,docs-quickstarts,"Convert ""docker镜像及docker相关其它优化建议"" into a provider-agnostic pattern and codify in shared translation utilities.",P3,S,issue,router-for-me/CLIProxyAPI,issue#1669,https://github.com/router-for-me/CLIProxyAPI/issues/1669,proposed,Document behavior in provider quickstart and compatibility matrix with concrete request/response examples.
